[24/11/2020 12:11:08 AM] | GET:/app/search?country=South+Africa | Status: 200 | Request Duration: 0.0098 ms
[24/11/2020 12:11:09 AM] | GET:/app/search?country=Nigeria | Status: 200 | Request Duration: 0.011 ms
[24/11/2020 12:11:31 AM] | GET:/app/search?country=Nigeria | Status: 200 | Request Duration: 0.0162 ms
[24/11/2020 12:11:60 AM] | GET:/app/search?country=Nigeria | Status: 200 | Request Duration: 0.0434 ms
[24/11/2020 12:11:94 AM] | GET:/app | Status: 200 | Request Duration: 0.0059 ms
[24/11/2020 12:11:98 AM] | GET:/style.css | Status: 200 | Request Duration: 0.0043 ms
[24/11/2020 12:11:49 AM] | GET:/app/search?country=South+Africa | Status: 200 | Request Duration: 0.0096 ms
[24/11/2020 12:11:35 AM] | GET:/app/search?country=South+Africa | Status: 200 | Request Duration: 0.0067 ms
[24/11/2020 12:11:45 AM] | GET:/app/search?country=South+Africa | Status: 200 | Request Duration: 0.0078 ms
[24/11/2020 12:11:24 AM] | GET:/style.css | Status: 200 | Request Duration: 0.0057 ms
[24/11/2020 12:11:88 AM] | GET:/app/search?country=South+Africa | Status: 200 | Request Duration: 0.0188 ms
[24/11/2020 12:11:11 AM] | GET:/style.css | Status: 200 | Request Duration: 0.0102 ms
[24/11/2020 12:11:42 AM] | GET:/app/search?country=South+Africa | Status: 200 | Request Duration: 0.0263 ms
[24/11/2020 12:11:57 AM] | GET:/style.css | Status: 200 | Request Duration: 0.0324 ms
[24/11/2020 12:11:75 AM] | GET:/app/search?country=South+Africa | Status: 200 | Request Duration: 0.0104 ms
[24/11/2020 12:11:27 AM] | GET:/app/search?country=South+Africa | Status: 200 | Request Duration: 0.0088 ms
[24/11/2020 12:11:14 AM] | GET:/style.css | Status: 200 | Request Duration: 0.0128 ms
[24/11/2020 12:11:87 AM] | GET:/app/search?country=South+Africa | Status: 200 | Request Duration: 0.0312 ms
[24/11/2020 12:11:32 AM] | GET:/style.css | Status: 200 | Request Duration: 0.0064 ms
[24/11/2020 12:11:38 AM] | GET:/app/search?country=South+Africa | Status: 200 | Request Duration: 0.0065 ms
[24/11/2020 12:11:16 AM] | GET:/style.css | Status: 200 | Request Duration: 0.0055 ms
[24/11/2020 12:11:10 AM] | GET:/app/search?country=South+Africa | Status: 200 | Request Duration: 0.0105 ms
[24/11/2020 12:11:91 AM] | GET:/style.css | Status: 200 | Request Duration: 0.0061 ms
[24/11/2020 12:11:97 AM] | GET:/style.css | Status: 200 | Request Duration: 0.0055 ms
[24/11/2020 12:11:36 AM] | GET:/app/search?country=South+Africa | Status: 200 | Request Duration: 0.0071 ms
[24/11/2020 12:11:49 AM] | GET:/style.css | Status: 200 | Request Duration: 0.0051 ms
[24/11/2020 12:11:11 AM] | GET:/app/search?country=South+Africa | Status: 200 | Request Duration: 0.009 ms
[24/11/2020 12:11:99 AM] | GET:/style.css | Status: 200 | Request Duration: 0.0076 ms
[24/11/2020 12:11:23 AM] | GET:/app/search?country=South+Africa | Status: 200 | Request Duration: 0.0057 ms
[24/11/2020 12:11:03 AM] | GET:/style.css | Status: 200 | Request Duration: 0.007 ms
[24/11/2020 12:11:82 AM] | GET:/app/search?country=South+Africa | Status: 200 | Request Duration: 0.0069 ms
[24/11/2020 12:11:65 AM] | GET:/style.css | Status: 200 | Request Duration: 0.0061 ms
[24/11/2020 12:11:73 AM] | GET:/app/search?country=South+Africa | Status: 200 | Request Duration: 0.0077 ms
[24/11/2020 12:11:97 AM] | GET:/style.css | Status: 200 | Request Duration: 0.0112 ms
[24/11/2020 12:11:90 AM] | GET:/app/search?country=South+Africa | Status: 200 | Request Duration: 0.0063 ms
[24/11/2020 12:11:43 AM] | GET:/app/search?country=South+Africa | Status: 200 | Request Duration: 0.0087 ms
[24/11/2020 12:11:57 AM] | GET:/style.css | Status: 200 | Request Duration: 0.0055 ms
[24/11/2020 12:11:14 AM] | GET:/app/search?country=South+Africa | Status: 200 | Request Duration: 0.006 ms
[24/11/2020 12:11:01 AM] | GET:/style.css | Status: 200 | Request Duration: 0.0065 ms
[24/11/2020 12:11:87 AM] | GET:/app/search?country=South+Africa | Status: 200 | Request Duration: 0.01 ms
[24/11/2020 12:11:07 AM] | GET:/app/search?country=South+Africa | Status: 200 | Request Duration: 0.0179 ms
[24/11/2020 12:11:07 AM] | GET:/style.css | Status: 200 | Request Duration: 0.0092 ms
